"Ticker","Company Name","2015","2014","2013","2012","2011","2010","2009","2008"
"DIS","The Walt Disney Co.","173,715.9","160,123.0","129,880.0","89,622.0","68,958.8","70,320.0","60,497.8","41,289.0"
"DISCA","Discovery Com Class A","3,988.8","5,839.1","31,665.1","23,189.3","15,937.3","17,180.4","13,065.5","5,975.5"
"DISCK","Discovery Com Class C","6,921.4","10,500.6","N/A","N/A","N/A","N/A","N/A","N/A"
"DLPH","Delphi Automotive","24,011.9","21,206.5","18,423.2","12,060.2","7,070.4","N/A","N/A","N/A"
"DLTR","Dollar Tree","18,130.9","14,476.0","11,742.8","9,109.1","9,606.0","6,919.9","4,227.4","3,784.2"
"DNB","Dun & Bradstreet","3,755.3","4,342.5","4,640.0","3,248.2","3,569.4","4,071.7","4,319.7","4,114.8"
"DNR","Denbury Resources Inc.","N/A","2,872.8","5,956.0","6,084.1","5,873.6","7,640.0","3,874.2","2,703.4"
"DO","Diamond Offshore Drilling","2,894.1","5,034.7","7,913.9","9,448.6","7,682.6","9,296.7","13,682.9","8,192.7"
"DOV","Dover Corp.","9,501.0","11,691.2","16,402.8","11,480.7","10,657.5","10,900.3","7,775.9","6,123.0"
"DOW","Dow Chemical","57,890.0","53,754.2","53,851.3","38,771.2","33,988.9","39,626.8","31,601.1","13,939.8"
"DPS","Dr Pepper Snapple Group","17,604.7","13,831.2","9,645.6","9,069.8","8,374.9","7,873.6","7,191.3","4,122.4"
"DRI","Darden Restaurants","8,154.8","7,272.8","7,136.8","5,830.1","5,854.5","6,376.2","4,903.7","3,860.3"
"DTE","DTE Energy Co.","14,392.2","15,286.7","11,756.8","10,349.7","9,215.5","7,678.5","7,209.8","5,814.9"
"DTV","DirecTV","N/A","43,587.0","35,863.3","29,435.9","29,560.3","32,281.3","31,121.8","23,464.0"
"DUK","Duke Energy","49,140.2","59,062.8","48,721.1","44,915.2","29,392.0","23,669.5","22,527.9","19,092.7"
"DV","DeVry, Inc.","N/A","3,020.2","2,234.6","1,535.9","2,639.7","3,408.0","4,041.0","4,097.8"
"DVA","DaVita Inc.","14,709.5","16,332.6","13,508.1","11,660.8","7,098.9","6,671.2","6,053.9","5,143.1"
"DVN","Devon Energy Corp.","13,152.0","25,034.9","25,119.2","21,128.2","25,054.2","33,877.1","32,832.5","29,155.5"
"DYN","Dynegy Inc.","N/A","N/A","N/A","N/A","339.9","679.5","1,087.3","1,005.8"
"EA","Electronic Arts","21,358.7","14,576.2","7,088.5","4,370.5","6,839.2","5,470.9","5,804.3","5,148.8"
"EBAY","eBay Inc.","32,994.0","69,721.6","71,001.8","65,994.0","39,019.2","36,115.3","30,537.2","17,897.1"
"ECL","Ecolab Inc.","33,776.9","31,340.6","31,399.3","21,190.5","16,879.0","11,723.3","10,547.4","8,301.7"
"ED","Consolidated Edison","18,843.4","19,332.7","16,190.0","16,266.1","18,167.9","14,455.4","12,771.5","10,656.0"
"EDS","Electronics Data Systems","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"EFX","Equifax Inc.","13,194.7","9,655.9","8,422.1","6,516.0","4,633.3","4,364.6","3,898.3","3,349.5"
"EIX","Edison Int'l","19,291.3","21,334.1","15,085.0","14,723.4","13,488.6","12,576.3","11,331.7","10,465.0"
"EK","Eastman Kodak Co.","N/A","N/A","N/A","N/A","N/A","1,441.2","1,131.8","1,766.5"
"EL","Estee Lauder Cos.","19,600.2","28,867.6","29,220.5","23,160.8","21,771.8","15,923.4","9,535.8","6,089.6"
"EMC","EMC Corp.","49,789.3","60,518.2","51,754.9","53,298.4","43,940.7","47,183.1","35,635.7","21,366.7"
"EMN","Eastman Chemical","10,032.5","11,272.6","12,300.0","10,472.6","5,347.9","5,942.1","4,360.5","2,297.9"
"EMR","Emerson Electric Co","31,307.5","42,732.5","49,485.0","38,320.7","34,256.5","43,122.5","32,047.0","27,979.6"
"ENDP","Endo International plc","13,852.0","11,100.2","7,781.8","2,906.1","4,045.5","4,144.4","2,406.4","3,017.2"
"EOG","EOG Resources","38,913.8","50,481.5","45,834.8","32,810.4","26,501.1","23,225.2","24,569.1","16,620.5"
"EP","El Paso Corp.","N/A","N/A","N/A","N/A","20,518.3","9,690.5","6,893.6","5,469.8"
"EQ","Embarq Corp.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","5,120.7"
"EQIX","Equinix Inc","18,739.7","12,454.7","8,799.6","10,063.4","4,732.4","3,751.5","4,173.3","2,007.7"
"EQR","Equity Residential","29,720.1","26,067.5","18,698.0","18,420.9","16,966.9","15,075.7","9,457.0","8,134.5"
"EQT","EQT Corporation","7,951.9","11,475.8","13,546.4","8,853.4","8,189.8","6,688.0","5,750.5","4,390.6"
"ES","Eversource Energy","16,198.9","16,964.9","13,366.3","12,273.2","6,390.1","5,625.2","4,529.2","3,749.4"
"ESRX","Express Scripts","59,113.3","61,478.9","54,337.7","44,177.4","21,656.0","28,542.1","23,766.1","13,615.7"
"ESS","Essex Property Trust Inc","15,809.4","13,156.9","5,370.3","5,344.4","4,761.6","3,577.9","2,413.3","2,025.9"
"ESV","Ensco plc","3,624.0","7,015.8","13,354.4","13,779.6","10,836.2","7,630.7","5,693.4","4,025.7"
"ETFC","E*Trade Financial Corp.","8,684.5","7,017.8","5,643.7","2,560.7","2,271.5","3,533.5","3,333.4","648.1"
"ETN","Eaton Corporation","24,084.1","31,798.5","36,164.6","25,502.5","14,556.4","17,251.6","10,573.6","8,202.2"
"ETR","Entergy Corp.","12,194.5","15,680.0","11,285.5","11,335.3","12,882.8","12,660.6","15,477.4","15,741.3"
"EW","Edwards Lifesciences","17,036.8","13,731.6","7,187.6","10,306.4","8,066.9","9,296.6","4,933.1","3,071.7"
